TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
320537397377,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cmbatt.inf_amd64_544aa4ceb34e5ab9
320539182694,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/compdev.inf_amd64_bea70980d0aa2315
320540791762,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/compositebus.inf_amd64_8cf6fa9d3afdfa25
320542253999,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cpu.inf_amd64_16461f41cf3b2b85
320544428841,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cui_dch.inf_amd64_01e62fd23fef9f71
320546551927,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cui_dch.inf_amd64_ea0f2e956b37b3be
320548359879,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_1394.inf_amd64_3cb5aba306a3d0a1
320550389130,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_61883.inf_amd64_3eb2399c390ce743
320553696629,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_apo.inf_amd64_d48706dd601f0d1b
320557019927,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_avc.inf_amd64_f057245c4025a763
320559143605,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_barcodescanner.inf_amd64_18dc3d4a9999c78
320560995245,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_battery.inf_amd64_b88bf8ebc9f381a3
320562513540,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_biometric.inf_amd64_4fab899ad65b577c
320564010749,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_bluetooth.inf_amd64_157207f58462dbea
320565359082,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_camera.inf_amd64_ad76da7d95aa94cc
320566624299,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_cashdrawer.inf_amd64_c8b7ac9e76d5c859
320568047013,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_cdrom.inf_amd64_22888a546722b75f
320569702894,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_computeaccelerator.inf_amd64_c2cb75282d7
320571816225,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_computer.inf_amd64_ec088459d8ed23ca
320573578346,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_diskdrive.inf_amd64_3414ba396b538cc7
320575101130,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_display.inf_amd64_39696ccdf1e382c7
320577323922,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_dot4.inf_amd64_a72d3db51bff3476
320579008541,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_dot4print.inf_amd64_d5de80e2affecb80
320580953571,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_extension.inf_amd64_fa0e28b2dea65b3f
320582470122,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fdc.inf_amd64_7077484d214bff82
320584173185,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_firmware.inf_amd64_d9c1439e00be3d36
320585976806,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_floppydisk.inf_amd64_3ed1b76e28ab7596
320588028748,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsactivitymonitor.inf_amd64_eebf92c061db
320589441779,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/c_fsantivirus.inf_amd64_65bfe3a514f0d782
